years,Age group,Cause of death (ICD-10),VALUE
2013,5 to 9 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",1
2014,5 to 9 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",1
2015,5 to 9 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",0
2016,5 to 9 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",3
2017,5 to 9 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",0
2018,5 to 9 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",1
2000,5 to 9 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",13
2001,5 to 9 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",15
2002,5 to 9 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",15
2003,5 to 9 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",18
2004,5 to 9 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",13
2005,5 to 9 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",15
2006,5 to 9 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",9
2007,5 to 9 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",10
2008,5 to 9 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",12
2009,5 to 9 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",15
2010,5 to 9 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",11
2011,5 to 9 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",7
2012,5 to 9 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",4
2013,5 to 9 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",7
2014,5 to 9 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",10
2015,5 to 9 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",13
2016,5 to 9 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",11
2017,5 to 9 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",11
2018,5 to 9 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",11
2000,10 to 14 years,"Total, all causes of death [A00-Y89]",329
2001,10 to 14 years,"Total, all causes of death [A00-Y89]",286
2002,10 to 14 years,"Total, all causes of death [A00-Y89]",332
2003,10 to 14 years,"Total, all causes of death [A00-Y89]",295
2004,10 to 14 years,"Total, all causes of death [A00-Y89]",259
2005,10 to 14 years,"Total, all causes of death [A00-Y89]",311
2006,10 to 14 years,"Total, all causes of death [A00-Y89]",275
2007,10 to 14 years,"Total, all causes of death [A00-Y89]",273
2008,10 to 14 years,"Total, all causes of death [A00-Y89]",246
2009,10 to 14 years,"Total, all causes of death [A00-Y89]",230
2010,10 to 14 years,"Total, all causes of death [A00-Y89]",210
2011,10 to 14 years,"Total, all causes of death [A00-Y89]",233
2012,10 to 14 years,"Total, all causes of death [A00-Y89]",203
2013,10 to 14 years,"Total, all causes of death [A00-Y89]",223
2014,10 to 14 years,"Total, all causes of death [A00-Y89]",210
2015,10 to 14 years,"Total, all causes of death [A00-Y89]",219
2016,10 to 14 years,"Total, all causes of death [A00-Y89]",242
2017,10 to 14 years,"Total, all causes of death [A00-Y89]",198
2018,10 to 14 years,"Total, all causes of death [A00-Y89]",212
2000,10 to 14 years,Chapter II: Neoplasms [C00-D48],45
2001,10 to 14 years,Chapter II: Neoplasms [C00-D48],49
2002,10 to 14 years,Chapter II: Neoplasms [C00-D48],50
2003,10 to 14 years,Chapter II: Neoplasms [C00-D48],45
2004,10 to 14 years,Chapter II: Neoplasms [C00-D48],53
2005,10 to 14 years,Chapter II: Neoplasms [C00-D48],45
2006,10 to 14 years,Chapter II: Neoplasms [C00-D48],42
2007,10 to 14 years,Chapter II: Neoplasms [C00-D48],49
2008,10 to 14 years,Chapter II: Neoplasms [C00-D48],37
2009,10 to 14 years,Chapter II: Neoplasms [C00-D48],47
2010,10 to 14 years,Chapter II: Neoplasms [C00-D48],35
2011,10 to 14 years,Chapter II: Neoplasms [C00-D48],41
2012,10 to 14 years,Chapter II: Neoplasms [C00-D48],38
2013,10 to 14 years,Chapter II: Neoplasms [C00-D48],57
2014,10 to 14 years,Chapter II: Neoplasms [C00-D48],44
2015,10 to 14 years,Chapter II: Neoplasms [C00-D48],47
2016,10 to 14 years,Chapter II: Neoplasms [C00-D48],49
2017,10 to 14 years,Chapter II: Neoplasms [C00-D48],32
2018,10 to 14 years,Chapter II: Neoplasms [C00-D48],34
2000,10 to 14 years,Malignant neoplasms [C00-C97],41
2001,10 to 14 years,Malignant neoplasms [C00-C97],44
2002,10 to 14 years,Malignant neoplasms [C00-C97],42
2003,10 to 14 years,Malignant neoplasms [C00-C97],40
2004,10 to 14 years,Malignant neoplasms [C00-C97],52
2005,10 to 14 years,Malignant neoplasms [C00-C97],43
2006,10 to 14 years,Malignant neoplasms [C00-C97],38
2007,10 to 14 years,Malignant neoplasms [C00-C97],45
2008,10 to 14 years,Malignant neoplasms [C00-C97],35
2009,10 to 14 years,Malignant neoplasms [C00-C97],44
2010,10 to 14 years,Malignant neoplasms [C00-C97],33
2011,10 to 14 years,Malignant neoplasms [C00-C97],41
2012,10 to 14 years,Malignant neoplasms [C00-C97],38
2013,10 to 14 years,Malignant neoplasms [C00-C97],56
2014,10 to 14 years,Malignant neoplasms [C00-C97],42
2015,10 to 14 years,Malignant neoplasms [C00-C97],45
2016,10 to 14 years,Malignant neoplasms [C00-C97],46
2017,10 to 14 years,Malignant neoplasms [C00-C97],29
2018,10 to 14 years,Malignant neoplasms [C00-C97],33
2000,10 to 14 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2001,10 to 14 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2002,10 to 14 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",2
2003,10 to 14 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2004,10 to 14 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2005,10 to 14 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2006,10 to 14 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2007,10 to 14 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2008,10 to 14 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2009,10 to 14 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2010,10 to 14 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2011,10 to 14 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2012,10 to 14 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2013,10 to 14 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2014,10 to 14 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2015,10 to 14 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2016,10 to 14 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2017,10 to 14 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",0
2018,10 to 14 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",1
2000,10 to 14 years,Malignant neoplasms of digestive organs [C15-C26],0
2001,10 to 14 years,Malignant neoplasms of digestive organs [C15-C26],2
2002,10 to 14 years,Malignant neoplasms of digestive organs [C15-C26],1
2003,10 to 14 years,Malignant neoplasms of digestive organs [C15-C26],0
2004,10 to 14 years,Malignant neoplasms of digestive organs [C15-C26],0
2005,10 to 14 years,Malignant neoplasms of digestive organs [C15-C26],2
2006,10 to 14 years,Malignant neoplasms of digestive organs [C15-C26],1
2007,10 to 14 years,Malignant neoplasms of digestive organs [C15-C26],1
2008,10 to 14 years,Malignant neoplasms of digestive organs [C15-C26],2
2009,10 to 14 years,Malignant neoplasms of digestive organs [C15-C26],0
2010,10 to 14 years,Malignant neoplasms of digestive organs [C15-C26],1
2011,10 to 14 years,Malignant neoplasms of digestive organs [C15-C26],0
2012,10 to 14 years,Malignant neoplasms of digestive organs [C15-C26],0
2013,10 to 14 years,Malignant neoplasms of digestive organs [C15-C26],1
2014,10 to 14 years,Malignant neoplasms of digestive organs [C15-C26],1
2015,10 to 14 years,Malignant neoplasms of digestive organs [C15-C26],0
2016,10 to 14 years,Malignant neoplasms of digestive organs [C15-C26],2
2017,10 to 14 years,Malignant neoplasms of digestive organs [C15-C26],0
2018,10 to 14 years,Malignant neoplasms of digestive organs [C15-C26],0
2000,10 to 14 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2001,10 to 14 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1
2002,10 to 14 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1
2003,10 to 14 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2004,10 to 14 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2005,10 to 14 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1
2006,10 to 14 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1
2007,10 to 14 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2008,10 to 14 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2009,10 to 14 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2010,10 to 14 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2011,10 to 14 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],2
2012,10 to 14 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2013,10 to 14 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2014,10 to 14 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2015,10 to 14 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2016,10 to 14 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2017,10 to 14 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],0
2018,10 to 14 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1
2000,10 to 14 years,Malignant neoplasms of bone and articular cartilage [C40-C41],9
2001,10 to 14 years,Malignant neoplasms of bone and articular cartilage [C40-C41],5
2002,10 to 14 years,Malignant neoplasms of bone and articular cartilage [C40-C41],8
2003,10 to 14 years,Malignant neoplasms of bone and articular cartilage [C40-C41],4
2004,10 to 14 years,Malignant neoplasms of bone and articular cartilage [C40-C41],10
2005,10 to 14 years,Malignant neoplasms of bone and articular cartilage [C40-C41],6
2006,10 to 14 years,Malignant neoplasms of bone and articular cartilage [C40-C41],5
2007,10 to 14 years,Malignant neoplasms of bone and articular cartilage [C40-C41],4
2008,10 to 14 years,Malignant neoplasms of bone and articular cartilage [C40-C41],5
2009,10 to 14 years,Malignant neoplasms of bone and articular cartilage [C40-C41],6
2010,10 to 14 years,Malignant neoplasms of bone and articular cartilage [C40-C41],7
2011,10 to 14 years,Malignant neoplasms of bone and articular cartilage [C40-C41],8
2012,10 to 14 years,Malignant neoplasms of bone and articular cartilage [C40-C41],3
2013,10 to 14 years,Malignant neoplasms of bone and articular cartilage [C40-C41],7
2014,10 to 14 years,Malignant neoplasms of bone and articular cartilage [C40-C41],4
2015,10 to 14 years,Malignant neoplasms of bone and articular cartilage [C40-C41],9
2016,10 to 14 years,Malignant neoplasms of bone and articular cartilage [C40-C41],8
2017,10 to 14 years,Malignant neoplasms of bone and articular cartilage [C40-C41],7
2018,10 to 14 years,Malignant neoplasms of bone and articular cartilage [C40-C41],5
2000,10 to 14 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2001,10 to 14 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2002,10 to 14 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2003,10 to 14 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2004,10 to 14 years,Melanoma and other malignant neoplasms of skin [C43-C44],1
2005,10 to 14 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2006,10 to 14 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2007,10 to 14 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2008,10 to 14 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2009,10 to 14 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2010,10 to 14 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2011,10 to 14 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2012,10 to 14 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2013,10 to 14 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2014,10 to 14 years,Melanoma and other malignant neoplasms of skin [C43-C44],1
2015,10 to 14 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2016,10 to 14 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2017,10 to 14 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2018,10 to 14 years,Melanoma and other malignant neoplasms of skin [C43-C44],0
2000,10 to 14 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],1
2001,10 to 14 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],1
2002,10 to 14 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],4
2003,10 to 14 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],1
2004,10 to 14 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],6
2005,10 to 14 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],2
2006,10 to 14 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],4
2007,10 to 14 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],2
2008,10 to 14 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],4
2009,10 to 14 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],6
2010,10 to 14 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],2
2011,10 to 14 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],3
2012,10 to 14 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],5
2013,10 to 14 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],6
2014,10 to 14 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],2
2015,10 to 14 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],4
2016,10 to 14 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],2
2017,10 to 14 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],1
2018,10 to 14 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],2
2000,10 to 14 years,Malignant neoplasm of breast [C50],0
2001,10 to 14 years,Malignant neoplasm of breast [C50],0
2002,10 to 14 years,Malignant neoplasm of breast [C50],0
2003,10 to 14 years,Malignant neoplasm of breast [C50],0
2004,10 to 14 years,Malignant neoplasm of breast [C50],0
2005,10 to 14 years,Malignant neoplasm of breast [C50],0
2006,10 to 14 years,Malignant neoplasm of breast [C50],0
2007,10 to 14 years,Malignant neoplasm of breast [C50],0
2008,10 to 14 years,Malignant neoplasm of breast [C50],0
2009,10 to 14 years,Malignant neoplasm of breast [C50],0
2010,10 to 14 years,Malignant neoplasm of breast [C50],0
2011,10 to 14 years,Malignant neoplasm of breast [C50],0
2012,10 to 14 years,Malignant neoplasm of breast [C50],0
2013,10 to 14 years,Malignant neoplasm of breast [C50],0
2014,10 to 14 years,Malignant neoplasm of breast [C50],0
2015,10 to 14 years,Malignant neoplasm of breast [C50],0
2016,10 to 14 years,Malignant neoplasm of breast [C50],0
2017,10 to 14 years,Malignant neoplasm of breast [C50],0
2018,10 to 14 years,Malignant neoplasm of breast [C50],0
2000,10 to 14 years,Malignant neoplasms of female genital organs [C51-C58],0
2001,10 to 14 years,Malignant neoplasms of female genital organs [C51-C58],0
2002,10 to 14 years,Malignant neoplasms of female genital organs [C51-C58],2
2003,10 to 14 years,Malignant neoplasms of female genital organs [C51-C58],0
2004,10 to 14 years,Malignant neoplasms of female genital organs [C51-C58],0
2005,10 to 14 years,Malignant neoplasms of female genital organs [C51-C58],0
2006,10 to 14 years,Malignant neoplasms of female genital organs [C51-C58],0
2007,10 to 14 years,Malignant neoplasms of female genital organs [C51-C58],2
2008,10 to 14 years,Malignant neoplasms of female genital organs [C51-C58],0
2009,10 to 14 years,Malignant neoplasms of female genital organs [C51-C58],0
2010,10 to 14 years,Malignant neoplasms of female genital organs [C51-C58],0
2011,10 to 14 years,Malignant neoplasms of female genital organs [C51-C58],0
2012,10 to 14 years,Malignant neoplasms of female genital organs [C51-C58],0
2013,10 to 14 years,Malignant neoplasms of female genital organs [C51-C58],0
2014,10 to 14 years,Malignant neoplasms of female genital organs [C51-C58],1
2015,10 to 14 years,Malignant neoplasms of female genital organs [C51-C58],0
2016,10 to 14 years,Malignant neoplasms of female genital organs [C51-C58],0
2017,10 to 14 years,Malignant neoplasms of female genital organs [C51-C58],0
2018,10 to 14 years,Malignant neoplasms of female genital organs [C51-C58],0
2000,10 to 14 years,Malignant neoplasms of male genital organs [C60-C63],0
2001,10 to 14 years,Malignant neoplasms of male genital organs [C60-C63],0
2002,10 to 14 years,Malignant neoplasms of male genital organs [C60-C63],0
2003,10 to 14 years,Malignant neoplasms of male genital organs [C60-C63],2
2004,10 to 14 years,Malignant neoplasms of male genital organs [C60-C63],1
2005,10 to 14 years,Malignant neoplasms of male genital organs [C60-C63],0
2006,10 to 14 years,Malignant neoplasms of male genital organs [C60-C63],0
2007,10 to 14 years,Malignant neoplasms of male genital organs [C60-C63],0
2008,10 to 14 years,Malignant neoplasms of male genital organs [C60-C63],0
2009,10 to 14 years,Malignant neoplasms of male genital organs [C60-C63],0
2010,10 to 14 years,Malignant neoplasms of male genital organs [C60-C63],0
2011,10 to 14 years,Malignant neoplasms of male genital organs [C60-C63],0
2012,10 to 14 years,Malignant neoplasms of male genital organs [C60-C63],1
2013,10 to 14 years,Malignant neoplasms of male genital organs [C60-C63],0
2014,10 to 14 years,Malignant neoplasms of male genital organs [C60-C63],0
2015,10 to 14 years,Malignant neoplasms of male genital organs [C60-C63],0
2016,10 to 14 years,Malignant neoplasms of male genital organs [C60-C63],0
2017,10 to 14 years,Malignant neoplasms of male genital organs [C60-C63],0
2018,10 to 14 years,Malignant neoplasms of male genital organs [C60-C63],0
2000,10 to 14 years,Malignant neoplasms of urinary tract [C64-C68],0
2001,10 to 14 years,Malignant neoplasms of urinary tract [C64-C68],3
2002,10 to 14 years,Malignant neoplasms of urinary tract [C64-C68],0
2003,10 to 14 years,Malignant neoplasms of urinary tract [C64-C68],1
2004,10 to 14 years,Malignant neoplasms of urinary tract [C64-C68],2
2005,10 to 14 years,Malignant neoplasms of urinary tract [C64-C68],0
2006,10 to 14 years,Malignant neoplasms of urinary tract [C64-C68],0
2007,10 to 14 years,Malignant neoplasms of urinary tract [C64-C68],0
2008,10 to 14 years,Malignant neoplasms of urinary tract [C64-C68],0
2009,10 to 14 years,Malignant neoplasms of urinary tract [C64-C68],1
2010,10 to 14 years,Malignant neoplasms of urinary tract [C64-C68],0
2011,10 to 14 years,Malignant neoplasms of urinary tract [C64-C68],0
2012,10 to 14 years,Malignant neoplasms of urinary tract [C64-C68],0
2013,10 to 14 years,Malignant neoplasms of urinary tract [C64-C68],1
2014,10 to 14 years,Malignant neoplasms of urinary tract [C64-C68],0
2015,10 to 14 years,Malignant neoplasms of urinary tract [C64-C68],2
2016,10 to 14 years,Malignant neoplasms of urinary tract [C64-C68],0
2017,10 to 14 years,Malignant neoplasms of urinary tract [C64-C68],0
2018,10 to 14 years,Malignant neoplasms of urinary tract [C64-C68],0
2000,10 to 14 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",14
2001,10 to 14 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",14
2002,10 to 14 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",8
2003,10 to 14 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",16
2004,10 to 14 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",13
2005,10 to 14 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",13
2006,10 to 14 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",8
2007,10 to 14 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",18
2008,10 to 14 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",10
2009,10 to 14 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",12
2010,10 to 14 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",14
2011,10 to 14 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",11
2012,10 to 14 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",11
2013,10 to 14 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",17
2014,10 to 14 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",18
2015,10 to 14 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",16
2016,10 to 14 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",18
2017,10 to 14 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",13
2018,10 to 14 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",14
2000,10 to 14 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],0
2001,10 to 14 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],1
2002,10 to 14 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],2
2003,10 to 14 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],2
2004,10 to 14 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],2
2005,10 to 14 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],2
2006,10 to 14 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],2
2007,10 to 14 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],3
2008,10 to 14 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],1
2009,10 to 14 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],4
2010,10 to 14 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],0
2011,10 to 14 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],3
2012,10 to 14 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],1
2013,10 to 14 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],5
2014,10 to 14 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],3
2015,10 to 14 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],3
2016,10 to 14 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],2
2017,10 to 14 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],2
2018,10 to 14 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],0
2000,10 to 14 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",0
2001,10 to 14 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",2
2002,10 to 14 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",0
2003,10 to 14 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",1
2004,10 to 14 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",2
2005,10 to 14 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",0
2006,10 to 14 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",2
2007,10 to 14 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",1
2008,10 to 14 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",1
2009,10 to 14 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",3
2010,10 to 14 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",1
2011,10 to 14 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",2
2012,10 to 14 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",0
2013,10 to 14 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",2
2014,10 to 14 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",1
2015,10 to 14 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",0
2016,10 to 14 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",0
2017,10 to 14 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",0
2018,10 to 14 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",0
2000,10 to 14 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",17
2001,10 to 14 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",14
2002,10 to 14 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",14
2003,10 to 14 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",12
2004,10 to 14 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",15
2005,10 to 14 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",17
2006,10 to 14 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",13
2007,10 to 14 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",12
2008,10 to 14 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",12
2009,10 to 14 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",11
2010,10 to 14 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",7
2011,10 to 14 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",12
2012,10 to 14 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",17
2013,10 to 14 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",17
2014,10 to 14 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",10
2015,10 to 14 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",11
2016,10 to 14 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",13
2017,10 to 14 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",6
2018,10 to 14 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",10
2000,15 to 19 years,"Total, all causes of death [A00-Y89]",1049
2001,15 to 19 years,"Total, all causes of death [A00-Y89]",1033
2002,15 to 19 years,"Total, all causes of death [A00-Y89]",978
2003,15 to 19 years,"Total, all causes of death [A00-Y89]",985
2004,15 to 19 years,"Total, all causes of death [A00-Y89]",934
2005,15 to 19 years,"Total, all causes of death [A00-Y89]",986
2006,15 to 19 years,"Total, all causes of death [A00-Y89]",985
2007,15 to 19 years,"Total, all causes of death [A00-Y89]",956
2008,15 to 19 years,"Total, all causes of death [A00-Y89]",894
2009,15 to 19 years,"Total, all causes of death [A00-Y89]",888
2010,15 to 19 years,"Total, all causes of death [A00-Y89]",867
